frec1,fase,frec2,retardo,atenua
100,3.117,500,0.0002325000,-39.24
500,3.024,700,0.0002400000,-34.22
700,2.976,900,0.0001619456,-29.54
900,3.01,1100,0.0006660176,-26.02
1100,2.88,1200,0.0016084954,-22.70
1200,2.71,1500,0.0001772132,-21.21
1500,2.7675,1900,0.0003017750,-17.26
1900,2.64679,2100,0.0003299500,-13.06
2100,2.5808,2300,0.0003500000,-11.18
2300,2.5108,2500,0.0009301072,-9.64
2500,2.32,2700,0.0009308661,-8.04
2700,2.510.951.788,2900,0.0011819134,-6.69
2900,2.274.569.106,3100,0.0004377382,-5.46
3100,2.187.021.471,3300,0.0004558756,-4.21
3300,2.095.846.344,3500,0.0011329936,-3.33
3500,1.87,3700,0.0001874292,-2.52
3700,1.906.733.461,3900,0.0004769339,-1.86
3900,181.134.668,4100,0.0004726885,-1.32
4100,1.716.808.984,4300,0.0004619291,-0.88
4300,1.624.423.156,4500,0.0004457554,-0.67
4500,153.527.207,4600,0.0026355536,-0.41
4600,1.27,5000,0.0001538437,-0.24
5000,1.333.254.171,5300,0.0003527405,0.00
5300,1.227.432.031,5600,0.0005728563,0.16
5600,01.06,5900,0.0000187453,0.24
5900,1.049.951.541,6200,0.0002442723,0.24
6200,976.669.843,6500,0.0004783982,0.24
6500,0.83,7800,0.0000982877,0.16
7800,705.376.371,10000,0.0000887820,0.00
10000,510.056.015,20000,0.0000384392,-0.33
20000,0.13,,,-0.74