frec,fase,retardo
100,3.12,
500,03.08,0.0000941
700,03.05,0.0001319
900,03.01,0.0002199
1100,2.88,0.0006660
1200,2.71,0.0016085
1500,2.69,0.0000942
1900,2.57,0.0002985
2100,2.51,0.0002985
2300,2.38,0.0006126
2500,2.32,0.0002985
2700,2.21,0.0005969
2900,2.10,0.0005498
3100,02.03,0.0003487
3300,1.95,0.0003833
3500,1.87,0.0003990
3700,1.74,0.0006283
3900,1.67,0.0003864
4100,1.55,0.0006032
4300,1.43,0.0005686
4500,1.33,0.0005152
4600,1.27,0.0005718
5000,1.19,0.0001948
5300,1.10,0.0003163
5600,01.06,0.0001445
5900,0.91,0.0004911
6200,0.84,0.0002356
6500,0.83,0.0000147
7800,0.61,0.0001696
10000,0.44,0.0000785
20000,0.13,0.0000314